#Atom_name          Sigma                Radius
Br                  0.00000e+00          0.0000
C                   3.39967e-01          1.9080
CA                  3.39967e-01          1.9080
CB                  3.39967e-01          1.9080
CC                  3.39967e-01          1.9080
CK                  3.39967e-01          1.9080
CM                  3.39967e-01          1.9080
CN                  3.39967e-01          1.9080
CQ                  3.39967e-01          1.9080
CR                  3.39967e-01          1.9080
CT                  3.39967e-01          1.9080
CV                  3.39967e-01          1.9080
CW                  3.39967e-01          1.9080
C*                  3.39967e-01          1.9080
C0                  3.05240e-01          1.7131
F                   3.11815e-01          1.7500
H                   1.06908e-01          0.6000
HC                  2.64953e-01          1.4870
H1                  2.47135e-01          1.3870
H2                  2.29317e-01          1.2870
H3                  2.11499e-01          1.1870
HA                  2.59964e-01          1.4590
H4                  2.51055e-01          1.4090
H5                  2.42146e-01          1.3590
HO                  0.00000e+00          0.0000
HS                  1.06908e-01          0.6000
HW                  0.00000e+00          0.0000
HP                  1.95998e-01          1.1000
I                   4.18722e-01          2.3500
Cl                  4.40104e-01          2.4700
Na                  3.32840e-01          1.8680
IB                  8.90899e-01          5.0000
MG                  1.41225e-01          0.7926
N                   3.25000e-01          1.8240
NA                  3.25000e-01          1.8240
NB                  3.25000e-01          1.8240
NC                  3.25000e-01          1.8240
N2                  3.25000e-01          1.8240
N3                  3.25000e-01          1.8240
N*                  3.25000e-01          1.8240
O                   2.95992e-01          1.6612
OW                  3.15061e-01          1.7682
OH                  3.06647e-01          1.7210
OS                  3.00001e-01          1.6837
O2                  2.95992e-01          1.6612
P                   3.74177e-01          2.1000
S                   3.56359e-01          2.0000
SH                  3.56359e-01          2.0000
CU                  3.39967e-01          1.9080
FE                  0.00000e+00          0.0000
K                   4.73602e-01          2.6580
Rb                  5.26699e-01          2.9560
Cs                  6.04920e-01          3.3950
OW_spc              3.16557e-01          1.7766
HW_spc              0.00000e+00          0.0000
Li                  2.02590e-01          1.1370
Zn                  1.95998e-01          1.1000
HW_tip4pew          0.00000e+00          0.0000
OW_tip4pew          3.16435e-01          1.7759
HW_tip4p            0.00000e+00          0.0000
OW_tip4p            3.15365e-01          1.7699
HW_tip5p            0.00000e+00          0.0000
OW_tip5p            3.12000e-01          1.7510
MW                  0.00000e+00          0.0000
MCH3                0.00000e+00          0.0000
MNH3                0.00000e+00          0.0000
